ProvID,Culture,Religion,TradeGoods,Citizens,Freedmen,Slaves,Tribesmen,Nobles,Civilization,SettlementRank,Barbarian,NameRef,AraRef,Terrain,isChanged
1,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov1,noregion,plains,FALSE
2,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov2,noregion,plains,FALSE
3,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov3,noregion,plains,FALSE
4,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov4,noregion,plains,FALSE
5,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov5,noregion,plains,FALSE
6,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov6,noregion,plains,FALSE
7,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov7,noregion,plains,FALSE
8,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov8,noregion,plains,FALSE
9,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov9,noregion,plains,FALSE
10,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov10,noregion,plains,FALSE
11,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov11,noregion,plains,FALSE
12,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov12,noregion,plains,FALSE
13,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov13,noregion,plains,FALSE
14,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov14,noregion,plains,FALSE
15,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov15,noregion,plains,FALSE
16,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov16,noregion,plains,FALSE
17,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov17,noregion,plains,FALSE
18,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov18,noregion,plains,FALSE
19,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov19,noregion,plains,FALSE
20,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov20,noregion,plains,FALSE
21,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov21,noregion,plains,FALSE
22,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov22,noregion,plains,FALSE
23,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov23,noregion,plains,FALSE
24,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov24,noregion,plains,FALSE
25,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov25,noregion,plains,FALSE
26,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov26,noregion,plains,FALSE
27,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov27,noregion,plains,FALSE
28,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov28,noregion,plains,FALSE
29,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov29,noregion,plains,FALSE
30,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov30,noregion,plains,FALSE
31,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov31,noregion,plains,FALSE
32,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov32,noregion,plains,FALSE
33,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov33,noregion,plains,FALSE
34,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov34,noregion,plains,FALSE
35,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov35,noregion,plains,FALSE
36,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov36,noregion,plains,FALSE
37,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov37,noregion,plains,FALSE
38,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov38,noregion,plains,FALSE
39,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov39,noregion,plains,FALSE
40,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov40,noregion,plains,FALSE
41,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov41,noregion,plains,FALSE
42,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov42,noregion,plains,FALSE
43,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov43,noregion,plains,FALSE
44,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov44,noregion,plains,FALSE
45,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov45,noregion,plains,FALSE
46,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov46,noregion,plains,FALSE
47,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov47,noregion,plains,FALSE
48,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov48,noregion,plains,FALSE
49,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov49,noregion,plains,FALSE
50,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov50,noregion,plains,FALSE
51,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov51,noregion,plains,FALSE
52,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov52,noregion,plains,FALSE
53,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov53,noregion,plains,FALSE
54,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov54,noregion,plains,FALSE
55,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov55,noregion,plains,FALSE
56,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov56,noregion,plains,FALSE
57,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov57,noregion,plains,FALSE
58,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov58,noregion,plains,FALSE
59,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov59,noregion,plains,FALSE
60,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov60,noregion,plains,FALSE
61,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov61,noregion,plains,FALSE
62,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov62,noregion,plains,FALSE
63,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov63,noregion,plains,FALSE
64,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov64,noregion,plains,FALSE
65,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov65,noregion,plains,FALSE
66,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov66,noregion,plains,FALSE
67,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov67,noregion,plains,FALSE
68,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov68,noregion,plains,FALSE
69,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov69,noregion,plains,FALSE
70,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov70,noregion,plains,FALSE
71,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov71,noregion,plains,FALSE
72,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov72,noregion,plains,FALSE
73,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov73,noregion,plains,FALSE
74,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov74,noregion,plains,FALSE
75,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov75,noregion,plains,FALSE
76,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov76,noregion,plains,FALSE
77,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov77,noregion,plains,FALSE
78,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov78,noregion,plains,FALSE
79,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov79,noregion,plains,FALSE
80,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov80,noregion,plains,FALSE
81,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov81,noregion,plains,FALSE
82,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov82,noregion,plains,FALSE
83,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov83,noregion,plains,FALSE
84,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov84,noregion,plains,FALSE
85,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov85,noregion,plains,FALSE
86,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov86,noregion,plains,FALSE
87,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov87,noregion,plains,FALSE
88,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov88,noregion,plains,FALSE
89,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov89,noregion,plains,FALSE
90,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov90,noregion,plains,FALSE
91,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov91,noregion,plains,FALSE
92,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov92,noregion,plains,FALSE
93,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov93,noregion,plains,FALSE
94,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov94,noregion,plains,FALSE
95,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov95,noregion,plains,FALSE
96,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov96,noregion,plains,FALSE
97,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov97,noregion,plains,FALSE
98,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov98,noregion,plains,FALSE
99,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov99,noregion,plains,FALSE
100,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov100,noregion,plains,FALSE
101,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov101,noregion,plains,FALSE
102,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov102,noregion,plains,FALSE
103,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov103,noregion,plains,FALSE
104,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov104,noregion,plains,FALSE
105,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov105,noregion,plains,FALSE
106,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov106,noregion,plains,FALSE
107,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov107,noregion,plains,FALSE
108,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov108,noregion,plains,FALSE
109,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov109,noregion,plains,FALSE
110,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov110,noregion,plains,FALSE
111,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov111,noregion,plains,FALSE
112,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov112,noregion,plains,FALSE
113,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov113,noregion,plains,FALSE
114,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov114,noregion,plains,FALSE
115,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov115,noregion,plains,FALSE
116,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov116,noregion,plains,FALSE
117,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov117,noregion,plains,FALSE
118,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov118,noregion,plains,FALSE
119,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov119,noregion,plains,FALSE
120,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov120,noregion,plains,FALSE
121,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov121,noregion,plains,FALSE
122,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov122,noregion,plains,FALSE
123,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov123,noregion,plains,FALSE
124,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov124,noregion,plains,FALSE
125,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov125,noregion,plains,FALSE
126,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov126,noregion,plains,FALSE
127,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov127,noregion,plains,FALSE
128,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov128,noregion,plains,FALSE
129,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov129,noregion,plains,FALSE
130,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov130,noregion,plains,FALSE
131,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov131,noregion,plains,FALSE
132,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov132,noregion,plains,FALSE
133,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov133,noregion,plains,FALSE
134,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov134,noregion,plains,FALSE
135,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov135,noregion,plains,FALSE
136,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov136,noregion,plains,FALSE
137,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov137,noregion,plains,FALSE
138,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov138,noregion,plains,FALSE
139,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov139,noregion,plains,FALSE
140,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov140,noregion,plains,FALSE
141,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov141,noregion,plains,FALSE
142,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov142,noregion,plains,FALSE
143,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov143,noregion,plains,FALSE
144,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov144,noregion,plains,FALSE
145,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov145,noregion,plains,FALSE
146,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov146,noregion,plains,FALSE
147,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov147,noregion,plains,FALSE
148,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov148,noregion,plains,FALSE
149,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov149,noregion,plains,FALSE
150,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov150,noregion,plains,FALSE
151,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov151,noregion,plains,FALSE
152,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov152,noregion,plains,FALSE
153,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov153,noregion,plains,FALSE
154,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov154,noregion,plains,FALSE
155,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov155,noregion,plains,FALSE
156,roman,roman_pantheon,cloth,0,0,0,0,0,40,settlement,0,landprov156,noregion,plains,FALSE
